date,category,name,amount,remark,buildingName,roomNo,sourceSheet
2025-06-01,人工,工资,5000.0,保洁+门卫2人工资,,,6月耗材
2025-06-01,人工,工资,2000.0,水电工工资,,,6月耗材
2025-06-01,维修采购,R118给客户买除甲醛,28.0,R118给客户买除甲醛,,,6月耗材
2025-06-02,其他,干花打样,8.4,干花打样,,,6月耗材
2025-06-02,维修采购,床头灯打样,27.8,床头灯打样,,,6月耗材
2025-06-02,其他,干花打样,25.4,干花打样,,,6月耗材
2025-06-02,其他,增压泵隔音板,290.0,增压泵隔音板,,,6月耗材
2025-06-02,其他,吊顶,6000.0,吊顶,,,6月耗材
2025-06-02,其他,出房摆件套装232,232.0,出房摆件套装232,,,6月耗材
2025-06-04,其他,除甲醛,149.5,除甲醛,,,6月耗材
2025-06-06,维修采购,R403退房加冰箱,328.0,R403退房以前没有加冰箱,,,6月耗材
2025-06-07,其他,发泡胶+钉子,175.0,发泡胶+钉子,,,6月耗材
2025-06-07,其他,彩钢瓦,698.0,彩钢瓦,,,6月耗材
2025-06-07,维修采购,家具材料,11000.0,家具材料,,,6月耗材
2025-06-07,其他,门+门锁,10100.0,门+门锁,,,6月耗材
2025-06-08,维修采购,家具材料,2390.0,家具材料,,,6月耗材
2025-06-08,其他,格栅,1270.0,格栅,,,6月耗材
2025-06-08,其他,油烟机,560.0,油烟机,,,6月耗材
2025-06-09,网络,网费,2158.66,网费,,,6月耗材
2025-06-13,其他,木工手工费,15000.0,木工手工费,,,6月耗材
2025-06-15,其他,台灶水池,1500.0,台灶水池,,,6月耗材
2025-06-16,其他,替鸿翼监控费,5000.0,替鸿翼监控费,,,6月耗材
2025-06-16,其他,油烟机10台,2889.9,油烟机10台,,,6月耗材
2025-06-16,维修采购,热水器11台,4268.0,热水器11台,,,6月耗材
2025-06-17,其他,钛金板,10520.0,钛金板,,,6月耗材
2025-06-19,其他,工字线,980.0,工字线,,,6月耗材
2025-06-19,维修采购,热水器 马桶软管,360.0,热水器 马桶软管,,,6月耗材
2025-06-19,其他,钛金板运费,962.0,钛金板运费,,,6月耗材
2025-06-19,其他,发泡胶,540.0,发泡胶,,,6月耗材
2025-06-19,其他,结构胶,1600.0,结构胶,,,6月耗材
2025-06-20,其他,卫生间洗漱台,272.0,卫生间洗漱台,,,6月耗材
2025-06-22,其他,水池物流费,110.0,水池物流费,,,6月耗材
2025-06-22,其他,三角阀 枪钉 胶带,1191.0,三角阀 枪钉 胶带,,,6月耗材
2025-06-23,其他,门牌号,121.22,门牌号,,,6月耗材
2025-06-23,其他,卫生间洗漱台9套,2430.0,卫生间洗漱台9套,,,6月耗材
2025-06-24,其他,花洒11,1960.0,花洒11,,,6月耗材
2025-06-25,其他,油烟机抱箍,30.0,油烟机抱箍,,,6月耗材
2025-06-25,垃圾费,垃圾费,800.0,垃圾费,,,6月耗材
2025-06-26,其他,胶水,586.0,胶水,,,6月耗材
2025-06-26,水电,水电工费,10000.0,水电工费,,,6月耗材
2025-06-26,其他,工字线+线条,925.0,工字线+线条,,,6月耗材
2025-06-27,其他,桌子10,2100.6,桌子10,,,6月耗材
2025-06-28,维修采购,家具材料,20000.0,家具材料,,,6月耗材
2025-06-29,其他,除污剂,29.9,除污剂,,,6月耗材
2025-06-29,其他,门卫室安装费,5000.0,门卫室安装费,,,6月耗材
2025-06-29,维修采购,床+床垫+床头柜,13308.0,床+床垫+床头柜,,,6月耗材
2025-06-29,其他,大理石,5000.0,大理石,,,6月耗材
2025-07-01,其他,帮鸿翼垫资,41700.0,帮鸿翼垫资,,,7月耗材
2025-07-01,其他,浴室防水帘,60.0,浴室防水帘,,,7月耗材
2025-07-01,其他,做院子钢管,3870.0,做院子钢管,,,7月耗材
2025-07-01,其他,五金店三角阀,50.0,五金店三角阀,,,7月耗材
2025-07-01,其他,香薰12瓶,105.17,香薰12瓶,,,7月耗材
2025-07-01,人工,工资,5000.0,保洁+门卫2人工资,,,7月耗材
2025-07-01,人工,工资,2000.0,水电工工资,,,7月耗材
2025-07-02,其他,院子材料,2182.0,院子材料,,,7月耗材
2025-07-02,其他,钛金板580*18,10440.0,钛金板580*18,,,7月耗材
2025-07-03,维修采购,洗衣机11台,10028.0,洗衣机11台,,,7月耗材
2025-07-03,其他,切割片,10.0,切割片,,,7月耗材
2025-07-03,其他,底胶板,15.0,底胶板,,,7月耗材
2025-07-03,其他,水泵弯头,45.0,水泵弯头,,,7月耗材
2025-07-04,其他,卫生间洗漱池11套,3202.0,卫生间洗漱池11套,,,7月耗材
2025-07-04,其他,管道疏通剂,29.9,管道疏通剂,,,7月耗材
2025-07-05,其他,浴室防水帘10套,808.8,浴室防水帘10套,,,7月耗材
