date,name,unit_price,purpose,amount,sheet,property
2025-08-20 00:00:00,84消毒水,19.9,84消毒水,19.9,8月耗材,嘉定公寓
2025-08-25 00:00:00,卫生费,800,卫生费,800,8月耗材,嘉定公寓
2025-08-25 00:00:00,空调费结清 ,15170,空调费结清 ,15170,8月耗材,嘉定公寓
2025-08-26 00:00:00,门锁费结清,10900,门锁费结清,10900,8月耗材,嘉定公寓
2025-08-27 00:00:00,瓦工费,20000,瓦工费,20000,8月耗材,嘉定公寓
2025-08-28 00:00:00,防臭地漏4个,66,防臭地漏4个,66,8月耗材,嘉定公寓
2025-08-28 00:00:00,防臭洗水池4个,50,防臭洗水池4个,50,8月耗材,嘉定公寓
2025-08-28 00:00:00,洗脸池防臭漏2个,22.9,洗脸池防臭漏2个,22.9,8月耗材,嘉定公寓
2025-07-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,7月耗材,嘉定公寓
2025-07-01 00:00:00,工资,2000,水电工工资,2000,7月耗材,嘉定公寓
2025-07-01 00:00:00,香薰12瓶,105.17,香薰12瓶,105.17,7月耗材,嘉定公寓
2025-07-01 00:00:00,浴室防水帘,60,浴室防水帘,60,7月耗材,嘉定公寓
2025-07-01 00:00:00,做院子钢管,3870,做院子钢管,3870,7月耗材,嘉定公寓
2025-07-01 00:00:00,五金店三角阀,50,五金店三角阀,50,7月耗材,嘉定公寓
2025-07-01 00:00:00,帮鸿翼垫资,41700,帮鸿翼垫资,41700,7月耗材,嘉定公寓
2025-07-02 00:00:00,院子材料,2182,院子材料,2182,7月耗材,嘉定公寓
2025-07-02 00:00:00,钛金板580*18,10440,钛金板580*18,10440,7月耗材,嘉定公寓
2025-07-03 00:00:00,洗衣机11台,10028,洗衣机11台,10028,7月耗材,嘉定公寓
2025-07-03 00:00:00,切割片,10,切割片,10,7月耗材,嘉定公寓
2025-07-03 00:00:00,底胶板,15,底胶板,15,7月耗材,嘉定公寓
2025-07-03 00:00:00,水泵弯头,45,水泵弯头,45,7月耗材,嘉定公寓
2025-07-04 00:00:00,卫生间洗漱池11套,3202,卫生间洗漱池11套,3202,7月耗材,嘉定公寓
2025-07-04 00:00:00,管道疏通剂,29.9,管道疏通剂,29.9,7月耗材,嘉定公寓
2025-07-05 00:00:00,浴室防水帘10套,808.8,浴室防水帘10套,808.8,7月耗材,嘉定公寓
2025-07-05 00:00:00,打胶+螺丝,1200,打胶+螺丝,1200,7月耗材,嘉定公寓
2025-07-05 00:00:00,钛金板运费+叉车费,920,钛金板运费+叉车费,920,7月耗材,嘉定公寓
2025-07-07 00:00:00,电焊工7.5天,3750,电焊工7.5天,3750,7月耗材,嘉定公寓
2025-07-07 00:00:00,贴钛金板费,10800,贴钛金板费,10800,7月耗材,嘉定公寓
2025-07-07 00:00:00,涂料费22间内墙,10000,涂料费22间内墙,10000,7月耗材,嘉定公寓
2025-07-08 00:00:00,网费,1140,网费,1140,7月耗材,嘉定公寓
2025-07-08 00:00:00,瓦工,40000,瓦工,40000,7月耗材,嘉定公寓
2025-07-08 00:00:00,清运垃圾6车,6600,清运垃圾6车,6600,7月耗材,嘉定公寓
2025-07-08 00:00:00,冰箱11台,8507,冰箱11台,8507,7月耗材,嘉定公寓
2025-07-12 00:00:00,家具材料费,4570,家具材料费,4570,7月耗材,嘉定公寓
2025-07-13 00:00:00,门费用,19000,门费用,19000,7月耗材,嘉定公寓
2025-07-13 00:00:00,合同4本,38,合同4本,38,7月耗材,嘉定公寓
2025-07-15 00:00:00,窗帘代鸿翼付,6680,窗帘代鸿翼付,6680,7月耗材,嘉定公寓
2025-07-15 00:00:00,窗帘12间 ,4136,窗帘12间 ,4136,7月耗材,嘉定公寓
2025-07-15 00:00:00,小床4张,200,小床4张,200,7月耗材,嘉定公寓
2025-07-22 00:00:00,拖把+浴室刷大,78,拖把+浴室刷大,78,7月耗材,嘉定公寓
2025-07-23 00:00:00,吊顶费,8800,吊顶费,8800,7月耗材,嘉定公寓
2025-07-27 00:00:00,水电工费,2000,水电工费,2000,7月耗材,嘉定公寓
2025-07-27 00:00:00,花箱,550,花箱,550,7月耗材,嘉定公寓
2025-07-28 00:00:00,垃圾费,800,垃圾费,800,7月耗材,嘉定公寓
2025-07-29 00:00:00,瓦工,40000,瓦工,40000,7月耗材,嘉定公寓
2025-07-29 00:00:00,空调,10000,空调,10000,7月耗材,嘉定公寓
2025-07-31 00:00:00,帮鸿翼垫付,50000,帮鸿翼垫付,50000,7月耗材,嘉定公寓
2025-06-01 00:00:00,工资,5000,保洁+门卫2人工资,5000,6月耗材,嘉定公寓
2025-06-01 00:00:00,工资,2000,水电工工资,2000,6月耗材,嘉定公寓
2025-06-01 00:00:00,R118给客户买除甲醛,28,R118给客户买除甲醛,28,6月耗材,嘉定公寓
2025-06-02 00:00:00,吊顶,6000,吊顶,6000,6月耗材,嘉定公寓
2025-06-02 00:00:00,增压泵隔音板,290,增压泵隔音板,290,6月耗材,嘉定公寓
2025-06-02 00:00:00,出房摆件套装232,232,出房摆件套装232,232,6月耗材,嘉定公寓
