seq,room,deposit,rent,new_deposit,deposit_refund,plate,parking_fee,commission,period_start,period_end,remark,sheet,property,building
,S210,,,,,,,,,,,11月租金,嘉定公寓,
,S211,,,,,,,,,,,11月租金,嘉定公寓,
,S212,,,,,,,,,,,11月租金,嘉定公寓,
,S213,,,,,,,,,,,11月租金,嘉定公寓,
,S214,,,,,,,,,,,11月租金,嘉定公寓,
,S301,,,,,,,,,,,11月租金,嘉定公寓,
,S302,,,,,,,,,,,11月租金,嘉定公寓,
,S304,,,,,,,,,,,11月租金,嘉定公寓,
,S305,,,,,,,,,,,11月租金,嘉定公寓,
,S306,,,,,,,,,,,11月租金,嘉定公寓,
,S307,,,,,,,,,,,11月租金,嘉定公寓,
,S308,,,,,,,,,,,11月租金,嘉定公寓,
,S310,,,,,,,,,,,11月租金,嘉定公寓,
,S311,,,,,,,,,,,11月租金,嘉定公寓,
,S312,,,,,,,,,,,11月租金,嘉定公寓,
,S313,,,,,,,,,,,11月租金,嘉定公寓,
,S314,,,,,,,,,,,11月租金,嘉定公寓,
,S401,,,,,,,,,,,11月租金,嘉定公寓,
,S402,,,,,,,,,,,11月租金,嘉定公寓,
,S403,,,,,,,,,,,11月租金,嘉定公寓,
,S404,,,,,,,,,,,11月租金,嘉定公寓,
,S405,,,,,,,,,,,11月租金,嘉定公寓,
,S406,,,,,,,,,,,11月租金,嘉定公寓,
,S407,,,,,,,,,,,11月租金,嘉定公寓,
,S408,,,,,,,,,,,11月租金,嘉定公寓,
,S409,,,,,,,,,,,11月租金,嘉定公寓,
,S410,,,,,,,,,,,11月租金,嘉定公寓,
,S411,,,,,,,,,,,11月租金,嘉定公寓,
,S412,,,,,,,,,,,11月租金,嘉定公寓,
,S413,,,,,,,,,,,11月租金,嘉定公寓,
,S414,,,,,,,,,,,11月租金,嘉定公寓,
,S415,,,,,,,,,,,11月租金,嘉定公寓,
,334,,,,,,,,,,租金付齐,7月租金2 ,明远公寓,
,334,,,,,,,,,,公司还没打款进度可能1号,6月租金2,明远公寓,
10.0,210,2180,,,1380.0,,,,,,退房（客户多住11天）,5月租金1,明远公寓,
13.0,213,2200,,,,,,,,,退房,5月租金1,明远公寓,
34.0,316,2000,,,,,,,,,退房,5月租金1,明远公寓,
24.0,306,,,,,,,,,,退房,4月租金1,明远公寓,
38.0,320,,,,2080.0,,,,,,,4月租金1,明远公寓,
,201,,,,,,,,,,退房,3月租金1,明远公寓,2楼
,210,,,,,,,,,,退房,3月租金1,明远公寓,
,321,,,,,,,,,,退房,3月租金1,明远公寓,
,325,,,,,,,,,,退房,3月租金1,明远公寓,
,327,2100,,,,,,,,,退房,3月租金1,明远公寓,
,330,,,,,,,,,,退房,3月租金1,明远公寓,
,334,2000,,,2000.0,,,,,,退房,3月租金1,明远公寓,
,201,,,,,,,,,,退房,2月租金1,明远公寓,2楼
,203,,,,,,,,,,退房,2月租金1,明远公寓,
,204,,,,,,,,,,退房,2月租金1,明远公寓,
,212,,,,,,,,,,退房,2月租金1,明远公寓,
,306,,,,,,,,,,退房,2月租金1,明远公寓,
,331,,,,,,,,,,退房,2月租金1,明远公寓,
,210,,,,,,,,,,押金住完退房,2月租金1,明远公寓,
,201,,,,,,,,,,退房,1月租金1,明远公寓,2楼
,203,,,,,,,,,,退房,1月租金1,明远公寓,
,204,,,,,,,,,,退房,1月租金1,明远公寓,
,212,,,,,,,,,,退房,1月租金1,明远公寓,
,306,,,,,,,,,,退房,1月租金1,明远公寓,
,328,,,,,,,,,,退房,1月租金1,明远公寓,
,331,,,,,,,,,,退房,1月租金1,明远公寓,
,333,,,,,,,,,,退房,1月租金1,明远公寓,
,201,,,,,,,,,,退房,12月租金1,明远公寓,2楼
,211,,,,,,,,,,退房,12月租金1,明远公寓,
,212,,,,,,,,,,退房,12月租金1,明远公寓,
,331,1600,,,,,,,,,退房,12月租金1,明远公寓,
,333,,,,,,,,,,退房,12月租金1,明远公寓,
,201,,,,,,,,,,退房,11月租金1,明远公寓,2楼
,201,,,,,,,,,,,10月租金1,明远公寓,2楼
,304,,,,,,,,,,退房,10月租金1,明远公寓,
,304,,,,,,,,,,退房,9月租金1,明远公寓,
,201,1880,1880.0,,1880.0,,,,,,退房,8月租金1,明远公寓,2楼
,304,1800,,,1800.0,,,,,,退房,8月租金1,明远公寓,
,308,1600,,,1600.0,,,,,,,8月租金1,明远公寓,
,315,1900,,,1900.0,,,,,,退房,8月租金1,明远公寓,
,324,,,,,,,,,,,8月租金1,明远公寓,
,330,,,,,,,,,,退房,7月租金1,明远公寓,
,212,2280,,,2280.0,,,,,,退房,6月租金1,明远公寓,
,209,,,,1700.0,,,,,,退房,4月租金,明远公寓,
,306,1900,,,,,,,,,,4月租金,明远公寓,
,333,2080,,,2080.0,,,,,,退房,4月租金,明远公寓,
,201,1800,,,1800.0,,,,,,到期退房,3月租金,明远公寓,2楼
,316,,,,,,,,,,,3月租金,明远公寓,
,319,,,,,,,,,,退房,3月租金,明远公寓,
,214,,,,,,,,,,退房,2月租金,明远公寓,
,306,,,,,,,,,,退房,2月租金,明远公寓,
,308,,,,,,,,,,退房,2月租金,明远公寓,
,327,,,,,,,,,,退房,2月租金,明远公寓,
,328,,,,,,,,,,退房,2月租金,明远公寓,
,330,,,,,,,,,,退房,2月租金,明远公寓,
,218,,,,,,,,,,退房,1月租金,明远公寓,
,322,,,,,,,,,,退房,1月租金,明远公寓,
,330,,,,,,,,,,退房,1月租金,明远公寓,
,334,,,,,,,,,,退房,1月租金,明远公寓,
,322,,,,,,,,,,退房,12月租金,明远公寓,
,330,,,,,,,,,,退房,12月租金,明远公寓,
,334,,,,,,,,,,退房,12月租金,明远公寓,
,322,2150,,,2150.0,,,,,,退房,11月租金,明远公寓,
,330,,,,,,,,,,退房,11月租金,明远公寓,
,204,,,,700.0,,,,,,退房,9月租金 ,明远公寓,
,303,,,,,,,,,,退房,9月租金 ,明远公寓,
,330,,,,,,,,,,退房,9月租金 ,明远公寓,
,331,1600,,,1600.0,,,,,,退房,9月租金 ,明远公寓,
,321,,,,1900.0,,,,,,到期退房,8月租金,明远公寓,
,325,,,,,,,,,,退房,8月租金,明远公寓,
,203,空,,,,,,,,,,7月租金,明远公寓,
,203,空,,,1700.0,,,,,,到期退房,6月租金,明远公寓,
,306,健身房,,,,,,,,,,6月租金,明远公寓,
,333,健身房,,,,,,,,,316调房到333,6月租金,明远公寓,
